,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
8,Biobío,81,Concepción,8103,Chiguayante,28.849,44,4.773,11.086,9.777,2.562,485,119,3
8,Biobío,81,Concepción,8104,Florida,4.920,15,1.585,1.809,1.191,256,52,12,0
8,Biobío,81,Concepción,8105,Hualqui,8.712,23,1.546,3.606,2.643,730,133,31,0
8,Biobío,81,Concepción,8106,Lota,13.579,34,3.090,5.444,3.834,982,163,31,1
8,Biobío,81,Concepción,8107,Penco,16.513,40,3.473,6.657,5.004,1.092,198,49,0
8,Biobío,81,Concepción,8108,San Pedro de La paz,51.652,69,10.277,20.478,16.282,3.768,643,133,2
8,Biobío,81,Concepción,8109,Santa Juana,5.547,13,1.677,2.130,1.341,333,43,10,0
8,Biobío,81,Concepción,8110,Talcahuano,49.475,125,10.629,18.367,15.813,3.688,664,186,3
8,Biobío,81,Concepción,8111,Tomé,20.311,47,4.546,8.108,5.794,1.478,269,69,0
8,Biobío,81,Concepción,8112,Hualpén,29.763,44,5.817,12.694,8.637,2.083,396,89,3
8,Biobío,82,Arauco,8201,Lebu,8.678,11,1.299,3.401,2.837,877,204,49,0
8,Biobío,82,Arauco,8202,Arauco,12.983,31,3.138,4.923,3.808,898,130,54,1
